Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
11-Jan-24,189,13:30,Thursday,DUNDAS AND KEELE,Mechanical,25,50,E,3363
11-Jan-24,63,13:31,Thursday,OSSINGTON AND DAVENPOR,Mechanical,10,20,N,3525
11-Jan-24,939,13:33,Thursday,KENENDY STATION,Mechanical,7,14,,8958
11-Jan-24,37,13:34,Thursday,ISLINGTON AND REXDALE,General Delay,0,0,S,0
11-Jan-24,31,13:37,Thursday,COXWELL AND QUEEN,Utilized Off Route,15,30,S,8503
11-Jan-24,104,13:43,Thursday,WILMINGTON AND FINCH,Diversion,22,44,N,8359
11-Jan-24,37,13:55,Thursday,ISLINGTON AND REXDALE,Vision,19,38,N,8110
11-Jan-24,86,13:58,Thursday,CORONATION AND WALLSEN,Mechanical,20,40,W,3448
11-Jan-24,22,14:00,Thursday,UPPER GERRARD AND COXW,General Delay,0,0,N,8557
11-Jan-24,129,14:12,Thursday,MCCOWAN AND STEELES,Operations - Operator,5,10,N,3215
11-Jan-24,91,14:18,Thursday,CARNFORTH AND LAWRENCE,General Delay,25,38,N,7807
11-Jan-24,35,14:22,Thursday,JANE AND TRETHEWEY,Operations - Operator,6,12,N,1064
11-Jan-24,63,14:30,Thursday,ROGERS AND OAKWOOD,Mechanical,4,8,S,7004
11-Jan-24,927,14:33,Thursday,HUMBER COLLEGE BUS TER,Operations - Operator,9,19,S,3572
11-Jan-24,165,14:38,Thursday,SHEPPARD AND WESTON,Cleaning - Unsanitary,8,16,W,8900
11-Jan-24,63,14:40,Thursday,OAKWOOD AND GLENHURST,Mechanical,4,8,S,7004
11-Jan-24,95,14:43,Thursday,POPE JOHN PAUL II SCHO,Mechanical,11,12,W,3447
11-Jan-24,51,14:46,Thursday,LESLIE STATION,Mechanical,23,46,N,3101
11-Jan-24,111,14:51,Thursday,EGLINTON AND MARTIN GR,Collision - TTC,16,32,E,8089
11-Jan-24,165,14:52,Thursday,WESTON AND WALSH,Mechanical,8,16,E,8929
11-Jan-24,60,14:54,Thursday,DUFFERIN AND STEELES,Operations - Operator,15,30,W,7010
11-Jan-24,100,14:54,Thursday,WYNDFORD AND EGLINTON,Mechanical,8,16,N,8409
11-Jan-24,37,14:58,Thursday,ISLINGTON AND WARDLAW,Vision,19,38,S,8110
11-Jan-24,131,14:59,Thursday,KENNEDY STATION,Mechanical,12,24,E,1327
11-Jan-24,,15:02,Thursday,MAIN STATION,Mechanical,11,21,N,8518
11-Jan-24,124,15:03,Thursday,AVENUE AND MELROSE,Mechanical,18,36,E,8193
11-Jan-24,126,15:04,Thursday,SHALLMAR AND BATHURST,Collision - TTC,30,60,W,7005
11-Jan-24,168,15:04,Thursday,DAVENPORT AND SYMINGTO,Mechanical,10,20,S,7762
11-Jan-24,63,15:15,Thursday,LIBERTY AND ATLANTIC,Vision,10,20,S,7080
11-Jan-24,95,15:23,Thursday,YORK MILLS COLLEGIATE,Mechanical,5,11,E,3647
11-Jan-24,165,15:30,Thursday,ARROW GARAGE,Mechanical,7,14,E,8902
11-Jan-24,21,15:31,Thursday,EGLINTON AND MIDLAND,Vision,15,30,S,8412
11-Jan-24,75,15:34,Thursday,BLOOR AND SHERBOURNE,Operations - Operator,8,16,S,88101
11-Jan-24,63,15:35,Thursday,ST. CLAIR AND OAKWOOD,Mechanical,10,20,S,8396
11-Jan-24,935,15:43,Thursday,PIONEER VILLAGE STATIO,Operations - Operator,12,24,S,7314
11-Jan-24,107,16:02,Thursday,SHEPPARD WEST STATION,Collision - TTC,20,40,N,8356
11-Jan-24,102,16:04,Thursday,MARKHAM AND SELECT,Operations - Operator,11,22,N,3419
11-Jan-24,165,16:07,Thursday,STEELES AND SIGNET,Operations - Operator,8,16,E,8933
11-Jan-24,960,16:14,Thursday,STEELES AND YONGE,Cleaning - Unsanitary,7,14,E,7086
11-Jan-24,37,16:20,Thursday,HUMBERWOOD AND ARBORWO,Mechanical,19,38,N,8209
11-Jan-24,37,16:20,Thursday,WOODBINE RACETRACK LOO,Mechanical,19,38,N,8209
11-Jan-24,113,16:21,Thursday,ST. CLAIR AND KENNEDY,Mechanical,15,30,E,113
11-Jan-24,106,16:35,Thursday,SENTINEL AND GRANDRAVI,Operations - Operator,15,30,W,3515
11-Jan-24,929,16:55,Thursday,DUFFERIN AND LAWRENCE,Operations - Operator,8,16,N,9149
11-Jan-24,902,17:03,Thursday,MARKHAM AND BLAKEMANOR,Mechanical,10,20,N,3416
11-Jan-24,952,17:05,Thursday,EGLINTON AND DUPLEX,Collision - TTC,12,24,E,1351
11-Jan-24,29,17:18,Thursday,DUFFERIN AND CLAVER,Operations - Operator,8,16,N,9134
11-Jan-24,86,17:19,Thursday,KINGSTON AND GUILDWOOD,Collision - TTC,8,16,E,1231
11-Jan-24,52,17:19,Thursday,EGLINTON STATION,Diversion,32,42,W,3635
11-Jan-24,905,17:25,Thursday,DANFORTH RD AND EGLINT,Collision - TTC,15,30,E,3445
11-Jan-24,131,17:38,Thursday,SEWELLS AND MORNINGSID,Mechanical,12,24,E,1261
11-Jan-24,952,17:39,Thursday,EGLINTON AND DUPLEX,Diversion,32,42,,8897
11-Jan-24,36,17:43,Thursday,HUMBERWOOD AND VIEW GR,Mechanical,6,13,E,1332
11-Jan-24,32,17:51,Thursday,EGLINTON AND DUPLEX,Diversion,10,23,E,1401
11-Jan-24,22,17:52,Thursday,COXWELL STATION,Operations - Operator,1,1,S,8445
11-Jan-24,69,17:57,Thursday,BIRCHMOUNT AND HOLLIS,Operations - Operator,20,40,N,8441
11-Jan-24,952,17:58,Thursday,EGLINTON STATION,Collision - TTC,12,24,W,3710
11-Jan-24,116,18:00,Thursday,MORNINGSIDE AND NIGHTS,Mechanical,8,16,S,3488
11-Jan-24,129,18:02,Thursday,MCCOWAN AND STEELES,Operations - Operator,14,28,S,3290
11-Jan-24,54,18:06,Thursday,LAWRENCE AND BELLAMY,Mechanical,5,11,W,8780
11-Jan-24,91,18:07,Thursday,WOODBINE STATION,Security,15,30,,8639
11-Jan-24,60,18:07,Thursday,YONGE AND CUMMER,Cleaning - Unsanitary,9,18,E,8390
11-Jan-24,16,18:10,Thursday,MCCOWAN AND LAWRENCE,Mechanical,9,18,N,8408
11-Jan-24,8,18:17,Thursday,WARDEN STATION,Operations - Operator,19,38,S,8581
11-Jan-24,8,18:17,Thursday,WARDEN STATION,Operations - Operator,19,38,S,8581
11-Jan-24,86,18:29,Thursday,KENNEDY STATION,Operations - Operator,6,12,E,3493
11-Jan-24,135,18:35,Thursday,WARDEN STATION,Mechanical,10,20,W,8961
11-Jan-24,51,18:38,Thursday,LESLIE AND LAWRENCE,Operations - Operator,21,42,N,3190
11-Jan-24,927,18:43,Thursday,KIPLING STATION,Mechanical,10,20,N,3610
11-Jan-24,903,18:45,Thursday,SCARBOROUGH CENTRE STA,Mechanical,11,24,W,9095
11-Jan-24,941,18:45,Thursday,KEELE AND SHEPPARD,Security,15,30,S,9152
11-Jan-24,68,18:53,Thursday,WARDEN AND EGLINTON,Mechanical,13,26,S,9215
11-Jan-24,37,18:58,Thursday,ISLINGTON STATION,Mechanical,20,40,S,3324
11-Jan-24,968,18:59,Thursday,WARDEN STATION,Mechanical,12,24,N,3210
11-Jan-24,52,19:06,Thursday,LAWRENCE WEST STATION,Collision - TTC,10,20,E,1370
11-Jan-24,36,19:31,Thursday,FINCH AND KIPLING,Mechanical,8,16,E,9103
11-Jan-24,13,19:32,Thursday,EGLINTON STATION,Operations - Operator,22,44,,8385
11-Jan-24,133,20:01,Thursday,SCARBOROUGH CENTRE STA,Operations - Operator,13,26,N,1283
11-Jan-24,960,20:08,Thursday,STEELES LOOP WEST OF M,Mechanical,13,26,,7099
11-Jan-24,118,20:30,Thursday,WESTON AND WALSH,General Delay,0,0,W,8300
11-Jan-24,939,20:32,Thursday,FINCH STATION,Mechanical,14,28,,3219
11-Jan-24,99,21:18,Thursday,JANE AND GRANDRAVINE,Diversion,111,127,S,1394
11-Jan-24,35,21:24,Thursday,JANE AND GRANDRAVINE,Diversion,69,79,,0
11-Jan-24,121,22:40,Thursday,"BROADVIEW AVE, JACK LA",Diversion,184,204,N,8604
11-Jan-24,131,22:53,Thursday,MARKHAM AND NUGGET,Mechanical,20,37,W,1590
11-Jan-24,41,23:02,Thursday,KEELE STATION,Vision,20,40,N,7229
11-Jan-24,36,23:08,Thursday,FINCH AND BATHURST,Emergency Services,10,20,W,3595
11-Jan-24,32,23:30,Thursday,EGLINTON AND DUFFERIN,Security,16,32,W,7252
11-Jan-24,507,01:41,Thursday,SUNNYSIDE LOOP,Security,10,20,,4446
12-Jan-24,332,02:20,Friday,EGLINTON AND DUPLEX,Diversion,207,237,E,1415
12-Jan-24,123,03:01,Friday,LONG BRANCH LOOP,Emergency Services,30,60,W,8101
12-Jan-24,320,03:27,Friday,YONGE AND EGLINTON,Utilized Off Route,5,10,W,7086
12-Jan-24,325,03:37,Friday,CARLAW AND EASTERN AV,Emergency Services,30,60,N,8838
12-Jan-24,336,04:07,Friday,FINCH AND YONGE,Security,20,40,W,9102
12-Jan-24,54,04:43,Friday,LAWRENCE AND MORNINGSI,Operations - Operator,71,0,E,8834
12-Jan-24,335,04:56,Friday,THE CHIMNEY STACK AND,Security,0,0,S,7221
12-Jan-24,73,05:07,Friday,THE EAST MALL AND GIBB,General Delay,0,0,,3352
12-Jan-24,129,05:08,Friday,KENNEDY STATION,Operations - Operator,24,24,N,3280
12-Jan-24,600,05:10,Friday,LONG BRANCH LOOP,Emergency Services,21,46,W,8767
12-Jan-24,84,05:13,Friday,SHEPPARD AND JANE,Security,20,40,E,1374
12-Jan-24,54,05:17,Friday,EGLINTON DIVISION,Operations - Operator,9,18,E,8646
12-Jan-24,35,05:19,Friday,JANE AND RITA,Mechanical,20,40,N,1085
12-Jan-24,11,05:22,Friday,EGLINTON GARAGE,Mechanical,15,30,S,8710
12-Jan-24,32,05:23,Friday,EGLINTON AND DUPLEX,Diversion,207,237,W,1415
12-Jan-24,124,05:28,Friday,YONGE AND LAWRENCE,Road Blocked - NON-TTC Collision,0,0,,3523
12-Jan-24,46,05:29,Friday,KIPLING STATION,Mechanical,11,22,S,8172
12-Jan-24,322,05:34,Friday,COXWELL AND STRATHMORE,Security,0,0,S,8498
12-Jan-24,32,05:39,Friday,EGLINTON AND KEELE,Road Blocked - NON-TTC Collision,11,21,E,3730
12-Jan-24,36,05:56,Friday,FINCH WEST STN,Mechanical,6,13,,9133
12-Jan-24,60,05:58,Friday,FINCH STATION,Emergency Services,10,0,S,8380
12-Jan-24,36,05:59,Friday,WESTON AND 401,Mechanical,0,0,N,9111
12-Jan-24,32,06:09,Friday,MT DENNIS GARAGE,Mechanical,8,17,N,7274
12-Jan-24,52,06:10,Friday,DANFORTH AND WARDEN,Security,10,20,N,8545
12-Jan-24,939,06:15,Friday,MCNICHOLL DIVISION,Operations - Operator,8,16,,3121
12-Jan-24,52,06:18,Friday,DON MILLS STATION,Mechanical,5,9,S,8811
12-Jan-24,999,06:30,Friday,LONG BRANCH LOOP,Security,0,0,,8110
12-Jan-24,124,06:31,Friday,ROE LOOP,Mechanical,9,18,E,8199
12-Jan-24,86,06:39,Friday,KENNEDY STATION,Mechanical,18,18,,1549
12-Jan-24,162,06:44,Friday,ROE LOOP,Diversion,36,66,E,8713
12-Jan-24,34,06:46,Friday,EGLINTON AND BRENTCLIF,Mechanical,8,15,W,8860
12-Jan-24,162,06:55,Friday,LAWRENCE AND YONGE,Diversion,36,66,E,8713
12-Jan-24,73,07:00,Friday,ROYAL YORK STATION,Mechanical,22,44,N,8138
12-Jan-24,81,07:37,Friday,MILLWOOD AND OVERLEA,Mechanical,6,12,N,8755
12-Jan-24,81,07:37,Friday,MILLWOOD AND OVERLEA,Mechanical,6,12,N,8755
12-Jan-24,43,07:56,Friday,SCARBOROUGH CENTER STA,Mechanical,15,30,N,8914
12-Jan-24,71,08:03,Friday,MT DENNIS GARAGE,Mechanical,11,22,S,7314
12-Jan-24,939,08:07,Friday,MIDLAND AND EGLINTON,Mechanical,8,14,E,3312
12-Jan-24,34,08:16,Friday,EGLINTON AND DON MILLS,Investigation,0,0,E,8759
12-Jan-24,97,08:22,Friday,YONGE AND PARK HOME AV,Mechanical,30,60,N,8359
12-Jan-24,32,08:24,Friday,EMMIT AND VERONA,Mechanical,8,17,E,7289
12-Jan-24,952,08:24,Friday,DIXON AND ISLINGTON,Collision - TTC,10,20,W,1361
12-Jan-24,35,08:30,Friday,JANE AND MARSHLYNN,Collision - TTC,12,24,N,1074
12-Jan-24,927,08:42,Friday,ALBION AND MARTIN GROV,General Delay,0,0,S,3598
12-Jan-24,72,09:22,Friday,PAPE STATION,Operations - Operator,11,22,S,8550
12-Jan-24,36,09:23,Friday,FINCH WEST STATION,Mechanical,6,12,,9126
12-Jan-24,35,09:41,Friday,JANE AND TRETHEWEY,Mechanical,8,16,S,1111
12-Jan-24,40,09:46,Friday,DUNDAS WEST STATION,Investigation,0,0,,0
12-Jan-24,24,10:44,Friday,VICTORIA PARK AND ST C,Mechanical,24,48,N,8584
12-Jan-24,43,10:47,Friday,KENNEDY AND ELLESMERE,Mechanical,20,40,S,3256
12-Jan-24,48,10:56,Friday,KIPLING AND RATHBURN,Mechanical,27,50,W,3355
12-Jan-24,44,10:57,Friday,KIPLING STATION,Operations - Operator,9,20,N,3358
12-Jan-24,7,10:57,Friday,BATHURST AND SHEPPARD,Mechanical,0,0,S,9008
12-Jan-24,32,11:11,Friday,EGLINTON WEST STATION,Mechanical,8,17,E,1001
12-Jan-24,927,11:41,Friday,KIPLING STATION,Operations - Operator,10,20,S,3589
12-Jan-24,41,11:45,Friday,KEELE AND ARROWSMITH,Security,10,20,S,7284
12-Jan-24,131,11:52,Friday,MORNINGVIEW TRAIL AND,Mechanical,14,28,W,1662
12-Jan-24,112,11:53,Friday,THE WEST MALL AND BLOO,Diversion,45,60,,8141
12-Jan-24,54,12:03,Friday,EGLINTON AND MT PLEASA,Investigation,14,28,W,8841
12-Jan-24,85,12:06,Friday,SHEPPARD AND VICTORIA,Investigation,10,37,W,3471
12-Jan-24,49,12:17,Friday,BLOOR AND WEST MALL,Diversion,45,60,,0
12-Jan-24,996,12:42,Friday,SCARBOROUGH CENTRE STA,Operations - Operator,12,24,,3557
12-Jan-24,102,12:51,Friday,MARKHAM AND FINCH,Operations - Operator,30,60,,3401
12-Jan-24,35,13:08,Friday,JANE AND WILSON,Mechanical,8,16,S,1054
12-Jan-24,69,13:11,Friday,ST CLAIR AND BIRCHMOUN,Mechanical,10,22,S,8525
12-Jan-24,60,13:13,Friday,YONGE AND CUMMER,Mechanical,11,22,S,8215
12-Jan-24,16,13:14,Friday,MCCOWAN AND BRIMORTON,Mechanical,13,26,N,8610
12-Jan-24,165,13:27,Friday,WILSON AND WENDELL,Mechanical,10,20,E,8910
12-Jan-24,95,13:49,Friday,RYLANDER AND KINGSTON,Operations - Operator,10,20,W,3450
12-Jan-24,985,13:50,Friday,SCARBOROUGH TOWN CENTR,Cleaning - Unsanitary,7,22,,3651
12-Jan-24,32,13:52,Friday,EGLINTON WEST STATION,Mechanical,12,24,E,7236
12-Jan-24,130,14:09,Friday,SCARBOROUGH CENTRE STA,Cleaning - Unsanitary,25,50,N,1220
12-Jan-24,80,14:14,Friday,BROADVIEW STATION,Mechanical,22,44,N,8499
12-Jan-24,939,14:18,Friday,FINCH STATION,Mechanical,7,14,E,3289
12-Jan-24,83,14:23,Friday,DONLANDS STATION,Mechanical,13,26,S,8532
12-Jan-24,95,14:24,Friday,YORK MILLS STATION,Mechanical,10,20,E,1328
12-Jan-24,102,14:37,Friday,CENTENNIAL COLLEGE,Operations - Operator,8,15,,0
12-Jan-24,83,14:40,Friday,DONLANDS STATION,Mechanical,31,27,E,8532
12-Jan-24,95,14:40,Friday,YORK MILLS STATION,Operations - Operator,10,20,,0
12-Jan-24,32,14:42,Friday,CALEDONIA AND EGLINTON,Mechanical,10,20,W,3730
12-Jan-24,924,14:49,Friday,VICTORIA PARK AND PARK,Mechanical,5,10,S,8540
12-Jan-24,924,14:49,Friday,VICTORIA PARK AND PARK,Mechanical,5,10,S,8540
12-Jan-24,927,14:53,Friday,ARROW DIVISION,Mechanical,2,9,N,8899
12-Jan-24,133,15:00,Friday,ELLESMERE AND KENNEDY,Operations - Operator,10,20,N,3647
12-Jan-24,902,15:11,Friday,MARKHAM AND PROGRESS,Operations - Operator,8,15,S,3494
12-Jan-24,501,15:14,Friday,PRIVATE-WOLSELEY LOOP,Utilized Off Route,5,10,E,7091
12-Jan-24,11,15:23,Friday,SUNNYBROOK HOSPITAL,Security,0,0,,8822
12-Jan-24,43,15:38,Friday,KENNEDY AND FINCH,Security,10,20,N,3268
12-Jan-24,43,15:40,Friday,SCARBOROUGH TOWN CENTE,Cleaning - Unsanitary,20,40,E,3256
12-Jan-24,38,15:46,Friday,ELLESMERE AND MARKHAM,Mechanical,13,26,E,1299
12-Jan-24,43,15:50,Friday,MIDLAND AND STEELES,Mechanical,10,20,S,3263
12-Jan-24,929,15:53,Friday,WILSON STATION,Mechanical,8,16,S,9151
12-Jan-24,939,15:55,Friday,FINCH STATION,Collision - TTC,12,24,E,3144
12-Jan-24,75,15:57,Friday,SHERBOURNE AND BLOOR,Emergency Services,7,15,N,8459
12-Jan-24,43,16:07,Friday,KENNEDY AND LAWRENCE,Utilized Off Route,10,20,S,3287
12-Jan-24,929,16:07,Friday,EGLINTON AND DUFFERIN,Mechanical,8,16,N,9033
12-Jan-24,102,16:10,Friday,MORNINGSIDE AND PASSMO,Mechanical,20,30,N,3414
12-Jan-24,95,16:15,Friday,YORK MILLS STATION,Mechanical,10,20,E,1233
12-Jan-24,66,16:22,Friday,LAKESHORE AND BROOKERS,Mechanical,0,0,E,8148
12-Jan-24,35,16:22,Friday,JANE AND SHEPPARD,Mechanical,12,24,S,1052
12-Jan-24,52,16:33,Friday,LAWRECE WEST STATION,Mechanical,18,36,W,1360
12-Jan-24,131,16:38,Friday,155 TRANSWAY,Operations - Operator,12,24,N,1633
12-Jan-24,944,16:40,Friday,KIPLING STATION,Mechanical,9,18,E,8138
12-Jan-24,66,16:55,Friday,PRINCE EDWARD AND BLOO,Operations - Operator,10,20,N,3351
12-Jan-24,132,17:00,Friday,SCARBOROUGH CENTRE STA,Operations - Operator,15,30,,1550
12-Jan-24,52,17:02,Friday,LAWRENCE AND RALPH,Mechanical,18,36,W,1379
12-Jan-24,996,17:16,Friday,SCARBOROUGH TOWN CENTR,Mechanical,0,0,,1384
12-Jan-24,40,17:20,Friday,DUNDAS WEST STATION,Mechanical,15,30,,8219
12-Jan-24,123,17:21,Friday,8 WICKMAN RD,Operations - Operator,24,48,E,8103
12-Jan-24,32,17:21,Friday,EGLINTON AND DUFFERIN,Operations - Operator,10,20,W,7283
12-Jan-24,29,17:25,Friday,WILSON STATION,Operations - Operator,8,16,S,9137
12-Jan-24,39,17:27,Friday,BAYVIEW AND FINCH,Mechanical,18,36,W,3222
12-Jan-24,925,17:30,Friday,PAPE STATION,Mechanical,9,18,N,8828
12-Jan-24,16,17:33,Friday,WARDEN STATION,Operations - Operator,10,18,N,8584
12-Jan-24,902,17:34,Friday,KINGSTON AND PARKCREST,Operations - Operator,10,20,E,3640
12-Jan-24,996,17:38,Friday,WEST HUMBER BLVD AND I,Mechanical,0,0,E,3556
12-Jan-24,112,17:48,Friday,WEST MALL AND BLOOR,Diversion,14,32,S,3349
12-Jan-24,161,18:02,Friday,JANE AND DAIRYMPLE,Mechanical,18,36,S,1011
12-Jan-24,985,18:14,Friday,KENNEDY AND SHEPPARD,Mechanical,15,30,W,9068
12-Jan-24,35,18:19,Friday,JANE STATION,Emergency Services,12,24,E,1066
12-Jan-24,43,18:21,Friday,KENNEDY AND ELLESMERE,Operations - Operator,20,40,S,3187
12-Jan-24,84,18:27,Friday,SHEPPARD WEST STATION,Operations - Operator,10,20,,1374
12-Jan-24,95,18:28,Friday,ELLESMERE AND PHARMACY,Mechanical,10,20,E,1265
12-Jan-24,32,18:32,Friday,EGLINTON WEST STATION,Operations - Operator,10,20,N,7208
12-Jan-24,53,18:36,Friday,MIDLAND AND STEELES,Operations - Operator,0,0,,3147
12-Jan-24,96,18:45,Friday,HUMBER COLLEGE AND SIL,Collision - TTC,20,40,,8882
12-Jan-24,108,18:50,Friday,PIONEER VILLAGE STATIO,Cleaning - Unsanitary,19,40,N,1337
12-Jan-24,14,18:59,Friday,GLENCAIRN AND LANSDOWN,Operations - Operator,30,60,W,7226
12-Jan-24,22,19:04,Friday,FAIRFORD AND COXWELL,Mechanical,10,20,S,8588
12-Jan-24,929,19:05,Friday,DUFFERIN AND LIBERTY,Collision - TTC,8,16,N,7273
12-Jan-24,21,19:07,Friday,KENNEDY STATION,Operations - Operator,15,30,N,8611
12-Jan-24,35,19:08,Friday,JANE AND WESTON RD,Mechanical,12,24,N,1004
12-Jan-24,104,19:10,Friday,WILSON STATION,Emergency Services,20,40,,8373
12-Jan-24,999,19:11,Friday,MCNICOLL GARAGE,Operations - Operator,0,0,,0
12-Jan-24,85,19:14,Friday,SHEPPARD AND SCUNTHORP,Operations - Operator,20,40,E,3471
12-Jan-24,43,19:15,Friday,SCARBOROUGH CENTRE STA,Operations - Operator,20,40,N,3187
12-Jan-24,43,19:15,Friday,ELLESMERE AND KENNEDY,Operations - Operator,20,40,E,3187
12-Jan-24,111,19:22,Friday,RATHBURN AND THE EAST,General Delay,20,40,N,8050
12-Jan-24,87,19:23,Friday,EAST YORK ACRES,General Delay,408,398,,0
12-Jan-24,,19:24,Friday,SHEPPARD AND GREENBRIA,Collision - TTC,0,0,E,253
12-Jan-24,123,19:26,Friday,KIPLING STATION,Mechanical,26,52,,8152
12-Jan-24,927,19:29,Friday,HUMBER COLLEGE,General Delay,8,18,S,3559
12-Jan-24,52,19:30,Friday,EGLINTON STATION,Collision - TTC,12,24,N,3613
12-Jan-24,64,19:30,Friday,KINGSTON ROAD AND MAIN,Diversion,231,251,,8464
12-Jan-24,80,19:36,Friday,THE QUEENSWAY AND CULN,Mechanical,10,20,E,8144
12-Jan-24,47,19:39,Friday,CALENDONIA AND SUMMITT,Diversion,399,419,N,7054
12-Jan-24,36,19:39,Friday,FINCH AND TORRESDALE,General Delay,7,15,E,9130
12-Jan-24,36,19:39,Friday,FINCH ADN TORRESDALE,General Delay,7,15,E,9130
12-Jan-24,36,19:39,Friday,FINCH AND WESTON,General Delay,7,14,E,9128
12-Jan-24,63,19:40,Friday,OSSINGTON AND DAVENPOR,General Delay,90,100,N,8396
12-Jan-24,96,19:40,Friday,FINCH AND WILMINGTON,General Delay,0,0,,9018
12-Jan-24,95,19:40,Friday,YORK MILLS AND OLD YON,Collision - TTC,10,20,W,3455
12-Jan-24,36,19:42,Friday,FINCH AND DUFFERIN,General Delay,8,15,E,1387
12-Jan-24,995,19:42,Friday,YORK MILLS AND BAYVIEW,General Delay,350,360,W,3430
12-Jan-24,29,19:43,Friday,DUFFERIN AND EVERSFIEL,General Delay,0,0,N,9028
12-Jan-24,91,19:45,Friday,BROOKBANKS AND VALLEY,General Delay,23,40,S,8746
12-Jan-24,95,19:47,Friday,YORK MILLS STATION,Diversion,350,360,,0
12-Jan-24,89,19:47,Friday,WESTON AND ALBION,General Delay,10,19,N,8197
12-Jan-24,,19:50,Friday,BATHURST AND EGLINTON,Collision - TTC,0,0,N,8193
12-Jan-24,952,19:51,Friday,LAWRENCE AND SCARLETT,General Delay,0,0,W,3703
12-Jan-24,78,19:53,Friday,YORK MILLS AN OLD YORK,General Delay,30,60,E,3573
12-Jan-24,52,19:54,Friday,LAWRENCE AND SCARLETT,General Delay,27,54,W,3553
12-Jan-24,927,19:54,Friday,DIXON AND ISLINGTON,General Delay,0,0,E,3584
12-Jan-24,34,19:55,Friday,EGLINTON STATION,General Delay,8,15,E,8862
12-Jan-24,122,19:56,Friday,YORK MILLS STATION,Diversion,373,403,,0
12-Jan-24,36,19:56,Friday,FINCH AND SIGNET,General Delay,0,0,E,9128
12-Jan-24,996,19:58,Friday,YORK MILLS AND OLD YON,Collision - TTC,9,18,W,3567
12-Jan-24,36,19:59,Friday,FINCH AND BATHURST,General Delay,7,15,W,9131
12-Jan-24,89,20:00,Friday,KEELE AND WEST TORONTO,General Delay,19,19,S,8379
12-Jan-24,89,20:00,Friday,WESTON AND HUMBERVIEW,General Delay,10,19,N,8384
12-Jan-24,939,20:02,Friday,FINCH AND PAIGE,Collision - TTC,15,30,E,9213
12-Jan-24,133,20:03,Friday,NIELSEN AND CROW TRAIL,Mechanical,13,26,N,1205
12-Jan-24,39,20:04,Friday,FINCH AND SENECA HILL,Collision - TTC,1,1,W,3257
12-Jan-24,95,20:06,Friday,SHEPPARD AND YONGE,Collision - TTC,10,20,W,3408
12-Jan-24,70,20:08,Friday,DANFORTH AND PHARMACY,Collision - TTC,0,0,E,8587
12-Jan-24,42,20:09,Friday,CUMMER AND FLEMING,General Delay,0,0,,8909
12-Jan-24,29,20:12,Friday,DUFFERIN AND ROGERS,General Delay,0,0,N,9144
12-Jan-24,127,20:12,Friday,TOWNSLEY LOOP,Mechanical,10,20,E,8115
12-Jan-24,115,20:12,Friday,YORK MILLS AND UPPER H,General Delay,20,40,W,3633
12-Jan-24,939,20:14,Friday,MCCOWAN AND HUNTINGWOO,Collision - TTC,16,32,S,3250
12-Jan-24,97,20:14,Friday,YONGE AND MERTON,General Delay,30,60,N,8315
12-Jan-24,903,20:17,Friday,PROGRESS AND MARKHAM,Diversion,134,148,S,9091
12-Jan-24,53,20:18,Friday,STAINES RD AND RIVENDE,Operations - Operator,24,48,N,3124
12-Jan-24,36,20:18,Friday,FINCH AND ISLINGTON,General Delay,8,16,E,9115
12-Jan-24,57,20:21,Friday,MILLIKEN GO TRANSIT ST,Diversion,326,346,S,3190
12-Jan-24,939,20:21,Friday,FINCH AND DUFFERIN,Diversion,203,213,E,8904
12-Jan-24,89,20:22,Friday,WESTON AND BLACK CREEK,General Delay,10,19,W,8326
12-Jan-24,905,20:23,Friday,MORNINGSIDE AND ELLESM,General Delay,0,0,N,9047
12-Jan-24,32,20:24,Friday,TRETHEWEY AND PAULSON,Diversion,182,202,E,1086
12-Jan-24,32,20:26,Friday,EGLINTON AND KANE,Diversion,0,0,E,7267
12-Jan-24,939,20:27,Friday,FINCH AND SENECA HILL,General Delay,0,0,W,3179
12-Jan-24,34,20:27,Friday,EGLINTON AND BRENTCLIF,General Delay,0,0,E,8861
12-Jan-24,939,20:31,Friday,FINCH AND DUFFERIN,Collision - TTC,16,32,N,3115
12-Jan-24,952,20:31,Friday,LAWRENCE AND SCARLETT,Collision - TTC,20,40,W,3566
12-Jan-24,73,20:32,Friday,ALBION AND WESTON,General Delay,10,20,S,8150
12-Jan-24,61,20:33,Friday,AVENUE AND ROSELAWN,General Delay,20,40,N,8360
12-Jan-24,42,20:36,Friday,CUMMER AND SNOWCREST,Collision - TTC,0,0,E,3283
12-Jan-24,47,20:37,Friday,CALEDONIA AND EGLINTON,General Delay,20,40,S,8319
12-Jan-24,59,20:37,Friday,KEELE AND GULLIVER,Diversion,202,231,,0
12-Jan-24,952,20:38,Friday,SHEPPARD AND SENTINEL,General Delay,0,0,W,8923
12-Jan-24,102,20:40,Friday,LAWRENCE AND MARKHAM,Diversion,175,195,N,1218
12-Jan-24,13,20:41,Friday,EGLINTON STATION,Operations - Operator,22,44,S,8182
12-Jan-24,39,20:41,Friday,FINCH AND WARDEN,Diversion,227,237,W,3302
12-Jan-24,91,20:50,Friday,YORK MILLS AND VALLEYW,Diversion,15,315,N,0
12-Jan-24,100,20:51,Friday,ST DENNIS AND LINKWOOD,General Delay,0,0,E,8479
