,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
653,2024/01/10,22:51,Wednesday,WELLESLEY STATION,SUO,0,0,,YU,0,Passenger Other
654,2024/01/10,23:24,Wednesday,ST ANDREW STATION,PUMST,0,0,,YU,0,Station Stairway Incident
655,2024/01/10,23:36,Wednesday,DUNDAS STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
656,2024/01/10,23:38,Wednesday,QUEEN STATION,SUO,0,0,,YU,0,Passenger Other
657,2024/01/10,23:58,Wednesday,SPADINA YUS STATION,SUO,0,0,S,YU,5921,Passenger Other
658,2024/01/10,01:00,Wednesday,DUNDAS STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
659,2024/01/10,15:57,Wednesday,SHEPPARD-YONGE STATION,SUO,0,0,E,SHP,6166,Passenger Other
660,2024/01/10,16:22,Wednesday,DON MILLS STATION,PUOPO,8,15,W,SHP,6191,OPTO (COMMS) Train Door Monitoring
661,2024/01/11,02:29,Thursday,FINCH STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
662,2024/01/11,02:44,Thursday,KENNEDY BD STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
663,2024/01/11,03:26,Thursday,SPADINA STATION,SUO,0,0,,BD,0,Passenger Other
664,2024/01/11,04:38,Thursday,DAVISVILLE YARD,SUG,0,0,,YU,6011,Graffiti / Scratchiti
665,2024/01/11,05:46,Thursday,DAVISVILLE STATION,PUTWZ,4,0,S,YU,5756,Work Zone Problems - Track
666,2024/01/11,05:51,Thursday,EGLINTON STATION,SUO,8,13,N,YU,5831,Passenger Other
667,2024/01/11,06:14,Thursday,KEELE STATION,MUTO,5,10,E,YU,5288,Misc. Transportation Other - Employee Non-Chargeable
668,2024/01/11,06:37,Thursday,SPADINA YUS STATION,PUOPO,8,11,S,YU,5421,OPTO (COMMS) Train Door Monitoring
669,2024/01/11,06:46,Thursday,ST GEORGE YUS STATION,PUOPO,5,8,S,YU,5421,OPTO (COMMS) Train Door Monitoring
670,2024/01/11,07:05,Thursday,EGLINTON WEST STATION,MUATC,0,0,S,YU,6091,ATC Project
671,2024/01/11,07:25,Thursday,FINCH STATION,EUME,3,6,S,YU,5786,RC&S Maintenance Error - (Human)
672,2024/01/11,07:32,Thursday,LAWRENCE STATION,PUOPO,7,10,N,YU,5896,OPTO (COMMS) Train Door Monitoring
673,2024/01/11,07:38,Thursday,ISLINGTON STATION,MUPLC,0,0,W,BD,5028,Fire/Smoke Plan C
674,2024/01/11,07:55,Thursday,YONGE BD STATION,EUNT,4,6,E,BD,5292,Equipment - No Trouble Found
675,2024/01/11,08:24,Thursday,KENNEDY BD STATION,SUDP,3,5,W,YU,5245,Disorderly Patron
676,2024/01/11,08:28,Thursday,QUEEN'S PARK STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
677,2024/01/11,08:54,Thursday,DUNDAS STATION,PUOPO,0,0,N,YU,5796,OPTO (COMMS) Train Door Monitoring
678,2024/01/11,09:17,Thursday,DUNDAS WEST STATION,PUMO,0,0,,YU,0,Station Other
679,2024/01/11,09:33,Thursday,PIONEER VILLAGE STATIO,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
680,2024/01/11,09:34,Thursday,WILSON STATION,MUSAN,3,6,N,YU,5601,Unsanitary Vehicle
681,2024/01/11,09:46,Thursday,KIPLING STATION,MUSAN,3,7,E,BD,5258,Unsanitary Vehicle
682,2024/01/11,09:46,Thursday,WILSON STATION,PUOPO,3,6,N,YU,6031,OPTO (COMMS) Train Door Monitoring
683,2024/01/11,10:39,Thursday,LANSDOWNE STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
684,2024/01/11,10:44,Thursday,SHERBOURNE STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
685,2024/01/11,10:58,Thursday,BAY STATION,SUDP,0,0,,BD,0,Disorderly Patron
686,2024/01/11,11:54,Thursday,DUNDAS STATION,PUOPO,0,0,S,YU,5601,OPTO (COMMS) Train Door Monitoring
687,2024/01/11,11:58,Thursday,KING STATION,PUOPO,0,0,S,YU,5601,OPTO (COMMS) Train Door Monitoring
688,2024/01/11,12:30,Thursday,DAVISVILLE STATION,SUO,0,0,N,YU,5451,Passenger Other
689,2024/01/11,12:37,Thursday,CHRISTIE STATION,TUSC,0,0,W,BD,5102,Operator Overspeeding
690,2024/01/11,12:57,Thursday,DUPONT STATION,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
691,2024/01/11,13:54,Thursday,LAWRENCE WEST STATION,SUO,0,0,,YU,0,Passenger Other
692,2024/01/11,14:30,Thursday,LANSDOWNE STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
693,2024/01/11,14:41,Thursday,OLD MILL STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
694,2024/01/11,14:56,Thursday,EGLINTON STATION,MUPAA,0,0,S,YU,5861,Passenger Assistance Alarm Activated - No Trouble Found
695,2024/01/11,15:14,Thursday,EGLINTON STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
696,2024/01/11,15:24,Thursday,COLLEGE STATION,MUPAA,0,0,S,YU,6081,Passenger Assistance Alarm Activated - No Trouble Found
697,2024/01/11,15:31,Thursday,COLLEGE STATION,PUMST,0,0,,YU,0,Station Stairway Incident
698,2024/01/11,15:43,Thursday,WILSON STATION,PUOPO,12,15,S,YU,5726,OPTO (COMMS) Train Door Monitoring
699,2024/01/11,15:57,Thursday,YORKDALE STATION,PUOPO,23,26,S,YU,5726,OPTO (COMMS) Train Door Monitoring
700,2024/01/11,16:09,Thursday,FINCH STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
701,2024/01/11,16:56,Thursday,SPADINA BD STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
702,2024/01/11,17:19,Thursday,RUNNYMEDE STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
703,2024/01/11,17:20,Thursday,YONGE BD STATION,MUDD,4,8,W,BD,5262,Door Problems - Debris Related
704,2024/01/11,17:46,Thursday,VICTORIA PARK STATION,MUIRS,0,0,E,BD,5195,Injured or ill Customer (In Station) - Medical Aid Refused
705,2024/01/11,17:52,Thursday,BROADVIEW STATION,SUDP,0,0,,BD,0,Disorderly Patron
706,2024/01/11,18:12,Thursday,OSGOODE STATION,PUOPO,0,0,N,YU,5706,OPTO (COMMS) Train Door Monitoring
707,2024/01/11,18:55,Thursday,BLOOR STATION,PUOPO,0,0,S,YU,5961,OPTO (COMMS) Train Door Monitoring
708,2024/01/11,19:47,Thursday,WOODBINE STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
709,2024/01/11,20:08,Thursday,BROADVIEW STATION,PUMST,0,0,,BD,0,Station Stairway Incident
710,2024/01/11,21:32,Thursday,WOODBINE STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
711,2024/01/11,22:00,Thursday,YONGE - UNIVERSITY AND,MUO,0,0,,YU/BD,0,Miscellaneous Other
712,2024/01/11,22:08,Thursday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
713,2024/01/11,23:54,Thursday,ST CLAIR STATION,SUEAS,14,19,N,YU,5416,Emergency Alarm Station Activation
714,2024/01/11,01:13,Thursday,FINCH STATION,MUIR,0,0,S,YU,5931,Injured or ill Customer (On Train) - Medical Aid Refused
715,2024/01/11,05:33,Thursday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6166,Operator Overspeeding
716,2024/01/11,13:47,Thursday,SHEPPARD-YONGE STATION,SUDP,0,0,,SHP,0,Disorderly Patron
717,2024/01/11,14:39,Thursday,BESSARION STATION,PUMEL,0,0,,SHP,0,Escalator/Elevator Incident
718,2024/01/11,19:24,Thursday,BAYVIEW STATION,SUDP,5,12,W,SHP,6161,Disorderly Patron
719,2024/01/12,02:05,Friday,ROYAL YORK STATION,SUO,0,0,,BD,0,Passenger Other
720,2024/01/12,06:26,Friday,ST GEORGE BD STATION,SUDP,3,10,E,BD,5166,Disorderly Patron
721,2024/01/12,06:34,Friday,GREENWOOD STATION,MUSC,0,0,E,BD,5311,Miscellaneous Speed Control
722,2024/01/12,06:59,Friday,YORK MILLS STATION,MUO,8,11,S,YU,5806,Miscellaneous Other
723,2024/01/12,07:22,Friday,DUFFERIN STATION,SUO,0,0,,BD,0,Passenger Other
724,2024/01/12,07:28,Friday,KIPLING STATION,TUSC,0,0,W,BD,5068,Operator Overspeeding
725,2024/01/12,07:37,Friday,KIPLING STATION,EUPI,3,5,E,YU,5285,Propulsion System
726,2024/01/12,07:40,Friday,DUPONT STATION,MUI,5,8,S,YU,5561,Injured or ill Customer (On Train) - Transported
727,2024/01/12,07:49,Friday,ST GEORGE YUS STATION,TUO,0,0,S,YU,5486,Transportation Department - Other
728,2024/01/12,07:55,Friday,COLLEGE STATION,SUO,0,0,,YU,0,Passenger Other
729,2024/01/12,07:57,Friday,FINCH STATION,MUSAN,3,6,N,YU,6036,Unsanitary Vehicle
730,2024/01/12,08:21,Friday,DONLANDS STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
731,2024/01/12,08:28,Friday,QUEEN'S PARK STATION,SUO,0,0,N,YU,0,Passenger Other
732,2024/01/12,08:52,Friday,YORKDALE STATION,PUOPO,7,10,N,YU,6071,OPTO (COMMS) Train Door Monitoring
733,2024/01/12,08:59,Friday,LAWRENCE WEST STATION,MUPAA,0,0,S,YU,5761,Passenger Assistance Alarm Activated - No Trouble Found
734,2024/01/12,09:06,Friday,DOWNSVIEW PARK STATION,PUOPO,6,9,N,YU,6071,OPTO (COMMS) Train Door Monitoring
735,2024/01/12,10:15,Friday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
736,2024/01/12,10:24,Friday,LAWRENCE STATION,MUSAN,6,11,N,YU,5711,Unsanitary Vehicle
737,2024/01/12,10:31,Friday,QUEEN STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
738,2024/01/12,10:31,Friday,BATHURST STATION,SUAP,0,0,,BD,0,Assault / Patron Involved
739,2024/01/12,11:30,Friday,DUNDAS STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
740,2024/01/12,11:47,Friday,COLLEGE STATION,SUO,3,8,N,YU,5411,Passenger Other
741,2024/01/12,11:58,Friday,HIGH PARK STATION,PUMEL,0,0,E,BD,0,Escalator/Elevator Incident
742,2024/01/12,12:07,Friday,BLOOR STATION,SUO,0,0,,YU,0,Passenger Other
743,2024/01/12,12:12,Friday,SPADINA BD STATION,SUAP,8,13,W,BD,5193,Assault / Patron Involved
744,2024/01/12,12:19,Friday,ST CLAIR WEST STATION,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
745,2024/01/12,13:02,Friday,WILSON STATION,SUG,7,12,S,YU,5701,Graffiti / Scratchiti
746,2024/01/12,13:42,Friday,COLLEGE STATION,SUO,0,0,,YU,0,Passenger Other
747,2024/01/12,13:53,Friday,WOODBINE STATION,EUSC,0,0,W,BD,5197,Speed Control Equipment
748,2024/01/12,14:24,Friday,YORK UNIVERSITY STATIO,EUDO,4,9,N,YU,5816,Door Problems - Faulty Equipment
749,2024/01/12,14:40,Friday,DUNDAS WEST STATION,SUDP,0,0,E,BD,5045,Disorderly Patron
750,2024/01/12,15:15,Friday,KIPLING STATION,SUO,0,0,W,BD,5139,Passenger Other
751,2024/01/12,15:28,Friday,SHERBOURNE STATION,MUSC,3,6,E,BD,5197,Miscellaneous Speed Control
752,2024/01/12,15:29,Friday,BATHURST STATION,SUDP,0,0,E,BD,0,Disorderly Patron
753,2024/01/12,15:54,Friday,DONLANDS STATION,MUPAA,0,0,W,BD,5051,Passenger Assistance Alarm Activated - No Trouble Found
754,2024/01/12,15:58,Friday,BLOOR STATION,MUDD,6,11,N,YU,5876,Door Problems - Debris Related
755,2024/01/12,16:17,Friday,WILSON STATION,PUOPO,0,0,S,YU,5501,OPTO (COMMS) Train Door Monitoring
756,2024/01/12,16:28,Friday,WILSON STATION,MUNOA,5,10,S,YU,5000,No Operator Immediately Available - Not E.S.A. Related
757,2024/01/12,16:44,Friday,WILSON STATION,TUNOA,3,6,S,YU,5196,No Operator Immediately Available
758,2024/01/12,17:19,Friday,NORTH YORK CTR STATION,PUOPO,3,6,N,YU,5501,OPTO (COMMS) Train Door Monitoring
759,2024/01/12,17:26,Friday,FINCH STATION,PUOPO,0,0,S,YU,5506,OPTO (COMMS) Train Door Monitoring
760,2024/01/12,18:46,Friday,RUNNYMEDE STATION,MUSC,0,0,E,BD,5197,Miscellaneous Speed Control
761,2024/01/12,18:52,Friday,DUFFERIN STATION,SUDP,0,0,,BD,0,Disorderly Patron
762,2024/01/12,19:15,Friday,SHERBOURNE STATION,SUDP,0,0,E,BD,5164,Disorderly Patron
763,2024/01/12,19:25,Friday,HIGH PARK STATION,SUO,0,0,,BD,0,Passenger Other
764,2024/01/12,19:30,Friday,VAUGHAN MC STATION,EUBK,0,0,S,YU,5621,Brakes
765,2024/01/12,19:52,Friday,BROADVIEW STATION,MUSC,0,0,E,BD,5265,Miscellaneous Speed Control
766,2024/01/12,19:56,Friday,HIGHWAY 407 STATION,EUCD,13,17,S,YU,5946,Consequential Delay (2nd Delay Same Fault)
767,2024/01/12,19:57,Friday,MAIN STREET STATION,MUSC,0,0,W,BD,5054,Miscellaneous Speed Control
768,2024/01/12,20:04,Friday,ST GEORGE BD STATION,SUDP,0,0,W,BD,5077,Disorderly Patron
769,2024/01/12,20:07,Friday,KEELE STATION,SUDP,0,0,W,BD,5231,Disorderly Patron
770,2024/01/12,20:08,Friday,BROADVIEW STATION,MUSAN,7,12,E,BD,5130,Unsanitary Vehicle
771,2024/01/12,20:50,Friday,RUNNYMEDE STATION,SUUT,8,13,W,BD,5071,Unauthorized at Track Level
772,2024/01/12,20:52,Friday,CHRISTIE STATION,MUIS,0,0,W,BD,0,Injured or ill Customer (In Station) - Transported
773,2024/01/12,21:16,Friday,PAPE STATION,SUO,12,17,E,BD,5149,Passenger Other
774,2024/01/12,21:20,Friday,RUNNYMEDE STATION,SUDP,13,18,E,BD,5312,Disorderly Patron
775,2024/01/12,21:30,Friday,FINCH STATION,MUD,5,10,S,YU,5565,Door Problems - Passenger Related
776,2024/01/12,22:00,Friday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,Miscellaneous Other
777,2024/01/12,22:21,Friday,WILSON STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
778,2024/01/12,23:02,Friday,UNION STATION,MUPAA,4,9,N,YU,5451,Passenger Assistance Alarm Activated - No Trouble Found
779,2024/01/12,23:04,Friday,DUNDAS WEST STATION,SUDP,11,16,W,BD,5053,Disorderly Patron
780,2024/01/12,23:31,Friday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0,Miscellaneous General Delays
781,2024/01/12,23:36,Friday,RUNNYMEDE STATION,MUNCA,0,0,,BD,0,MUNCA
782,2024/01/12,00:02,Friday,CHRISTIE STATION,MUPAA,3,8,E,BD,5265,Passenger Assistance Alarm Activated - No Trouble Found
783,2024/01/12,00:16,Friday,WILSON STATION,MUSAN,5,10,S,YU,5486,Unsanitary Vehicle
784,2024/01/12,00:30,Friday,BATHURST STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
785,2024/01/12,00:57,Friday,COXWELL STATION,SUDP,0,0,W,BD,524,Disorderly Patron
786,2024/01/12,15:48,Friday,BESSARION STATION,PUMEL,0,0,,SHP,0,Escalator/Elevator Incident
787,2024/01/12,17:33,Friday,BESSARION STATION,PUOPO,0,0,W,SHP,6161,OPTO (COMMS) Train Door Monitoring
788,2024/01/12,23:54,Friday,BAYVIEW STATION,MUIS,0,0,,SHP,0,Injured or ill Customer (In Station) - Transported
789,2024/01/13,02:19,Saturday,KIPLING STATION,SUDP,10,15,W,BD,5369,Disorderly Patron
790,2024/01/13,02:30,Saturday,BLOOR DANFORTH SUBWAY,TUST,0,0,,BD,0,Storm Trains
791,2024/01/13,02:30,Saturday,YONGE-UNIVERSITY AND B,TUST,0,0,,YU,0,Storm Trains
792,2024/01/13,02:43,Saturday,KIPLING STATION,PUSTS,0,0,W,YU,5369,Signals - Train Stops
793,2024/01/13,05:05,Saturday,VAUGHAN MC STATION,SUDP,0,0,,YU,0,Disorderly Patron
794,2024/01/13,05:39,Saturday,SUBWAY CLOSURE: WEEKEN,MUO,0,0,,YU,0,Miscellaneous Other
795,2024/01/13,05:48,Saturday,FINCH STATION,SUO,6,12,S,YU,5986,Passenger Other
796,2024/01/13,05:53,Saturday,KIPLING STATION,SUG,5,10,E,BD,5149,Graffiti / Scratchiti
797,2024/01/13,05:59,Saturday,ISLINGTON STATION,TUSC,0,0,E,BD,5149,Operator Overspeeding
798,2024/01/13,05:59,Saturday,ISLINGTON STATION,MUO,3,8,E,BD,5074,Miscellaneous Other
799,2024/01/13,05:59,Saturday,ST CLAIR WEST STATION,EUYRD,6,0,S,YU,5956,Yard/Carhouse Related Problems
800,2024/01/13,07:18,Saturday,SHEPPARD STATION,MUPAA,0,0,N,YU,5936,Passenger Assistance Alarm Activated - No Trouble Found
801,2024/01/13,08:32,Saturday,DUPONT STATION,PUOPO,3,9,S,YU,6106,OPTO (COMMS) Train Door Monitoring
802,2024/01/13,09:09,Saturday,BLOOR STATION,SUAE,0,0,,YU,0,Assault / Employee Involved
803,2024/01/13,10:05,Saturday,COXWELL STATION,TUS,5,10,E,BD,5231,Crew Unable to Maintain Schedule
804,2024/01/13,10:14,Saturday,COXWELL STATION,SUDP,0,0,W,BD,5208,Disorderly Patron
805,2024/01/13,10:23,Saturday,ST GEORGE YUS STATION,MUPAA,6,12,S,YU,5836,Passenger Assistance Alarm Activated - No Trouble Found
806,2024/01/13,10:29,Saturday,COLLEGE STATION,SUUT,0,0,S,YU,5531,Unauthorized at Track Level
807,2024/01/13,10:38,Saturday,KING STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
808,2024/01/13,10:42,Saturday,SHERBOURNE STATION,MUTO,3,8,W,BD,5235,Misc. Transportation Other - Employee Non-Chargeable
809,2024/01/13,11:12,Saturday,BATHURST STATION,MUI,18,23,W,BD,5077,Injured or ill Customer (On Train) - Transported
810,2024/01/13,11:19,Saturday,LAWRENCE STATION,SUO,17,21,S,YU,5741,Passenger Other
811,2024/01/13,11:31,Saturday,ST CLAIR WEST STATION,SUO,7,13,N,YU,5941,Passenger Other
812,2024/01/13,11:39,Saturday,KENNEDY BD STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
813,2024/01/13,12:12,Saturday,FINCH STATION,MUSAN,4,8,S,YU,6006,Unsanitary Vehicle
814,2024/01/13,12:20,Saturday,PAPE STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
815,2024/01/13,12:49,Saturday,CASTLE FRANK STATION,SUUT,4,8,W,BD,5371,Unauthorized at Track Level
816,2024/01/13,13:02,Saturday,ISLINGTON STATION,MUSC,0,0,E,BD,5319,Miscellaneous Speed Control
817,2024/01/13,13:40,Saturday,LAWRENCE WEST STATION,SUDP,8,15,S,YU,5591,Disorderly Patron
818,2024/01/13,13:55,Saturday,CHRISTIE STATION,EUSC,0,0,W,BD,5142,Speed Control Equipment
819,2024/01/13,14:08,Saturday,ST GEORGE YUS STATION,SUDP,7,14,S,YU,5591,Disorderly Patron
820,2024/01/13,14:19,Saturday,FINCH WEST STATION,MUIR,0,0,S,YU,6041,Injured or ill Customer (On Train) - Medical Aid Refused
821,2024/01/13,14:21,Saturday,YORKDALE STATION,PUOPO,20,27,S,YU,5956,OPTO (COMMS) Train Door Monitoring
822,2024/01/13,14:24,Saturday,COXWELL STATION,SUO,0,0,,BD,0,Passenger Other
823,2024/01/13,15:18,Saturday,ROYAL YORK STATION,SUDP,0,0,,BD,0,Disorderly Patron
824,2024/01/13,15:19,Saturday,ST CLAIR WEST STATION,SUO,0,0,S,YU,5946,Passenger Other
825,2024/01/13,16:01,Saturday,ST CLAIR STATION,SUUT,16,20,N,YU,5931,Unauthorized at Track Level
826,2024/01/13,16:13,Saturday,KENNEDY BD STATION,MUIR,0,0,W,BD,5208,Injured or ill Customer (On Train) - Medical Aid Refused
827,2024/01/13,16:14,Saturday,LANSDOWNE STATION,MUIRS,0,0,,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
828,2024/01/13,16:17,Saturday,ST CLAIR STATION,TUOS,10,14,S,YU,5931,Operator Overshot Platform
829,2024/01/13,16:38,Saturday,ST GEORGE BD STATION,MUPAA,3,8,W,BD,5094,Passenger Assistance Alarm Activated - No Trouble Found
830,2024/01/13,16:55,Saturday,ST GEORGE YUS STATION,SUDP,0,0,,YU,0,Disorderly Patron
831,2024/01/13,17:07,Saturday,LANSDOWNE STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
832,2024/01/13,17:43,Saturday,EGLINTON WEST STATION,SUO,0,0,N,YU,5581,Passenger Other
833,2024/01/13,18:38,Saturday,WELLESLEY STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
834,2024/01/13,18:39,Saturday,WOODBINE STATION,EUSC,0,0,W,BD,5142,Speed Control Equipment
835,2024/01/13,18:41,Saturday,ROYAL YORK STATION,SUO,25,29,W,YU,5371,Passenger Other
836,2024/01/13,18:55,Saturday,YORKDALE STATION,SUO,0,0,N,YU,6101,Passenger Other
837,2024/01/13,18:59,Saturday,HIGH PARK STATION,MUO,4,8,W,BD,5172,Miscellaneous Other
838,2024/01/13,19:11,Saturday,PAPE STATION,SUUT,0,0,W,BD,5197,Unauthorized at Track Level
839,2024/01/13,19:21,Saturday,WOODBINE STATION,MUDD,4,9,W,BD,5221,Door Problems - Debris Related
840,2024/01/13,19:29,Saturday,BLOOR STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported
841,2024/01/13,20:04,Saturday,BLOOR STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
842,2024/01/13,20:22,Saturday,KING STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
843,2024/01/13,20:32,Saturday,VICTORIA PARK STATION,MUPAA,0,0,W,BD,5297,Passenger Assistance Alarm Activated - No Trouble Found
844,2024/01/13,21:30,Saturday,ST ANDREW STATION,MUPAA,0,0,N,YU,5536,Passenger Assistance Alarm Activated - No Trouble Found
845,2024/01/13,22:00,Saturday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,Miscellaneous Other
846,2024/01/13,22:06,Saturday,ST GEORGE BD STATION,SUO,0,0,N,BD,0,Passenger Other
847,2024/01/13,22:16,Saturday,MAIN STREET STATION,EUSC,0,0,W,BD,5142,Speed Control Equipment
848,2024/01/13,22:46,Saturday,HIGHWAY 407 STATION,MUATC,7,14,S,YU,5397,ATC Project
849,2024/01/13,23:06,Saturday,COLLEGE STATION,SUDP,0,0,N,YU,6001,Disorderly Patron
850,2024/01/13,23:44,Saturday,YONGE BD STATION,SUO,0,0,E,BD,5012,Passenger Other
851,2024/01/13,23:44,Saturday,BLOOR STATION,SUO,0,0,N,YU,5996,Passenger Other
852,2024/01/13,00:32,Saturday,COLLEGE STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
853,2024/01/13,00:45,Saturday,ST GEORGE YUS STATION,SUO,0,0,,YU,0,Passenger Other
854,2024/01/13,00:47,Saturday,DONLANDS STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
855,2024/01/13,01:20,Saturday,EGLINTON WEST STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported
856,2024/01/13,01:28,Saturday,QUEEN STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
857,2024/01/13,01:28,Saturday,SHERBOURNE STATION,PUMST,0,0,,BD,0,Station Stairway Incident
858,2024/01/13,01:44,Saturday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
859,2024/01/13,01:58,Saturday,FINCH STATION,MUI,0,0,S,YU,5411,Injured or ill Customer (On Train) - Transported
860,2024/01/14,02:22,Sunday,ROYAL YORK STATION,SUAP,0,0,,BD,0,Assault / Patron Involved
861,2024/01/14,02:29,Sunday,FINCH STATION,SUDP,0,0,S,YU,6123,Disorderly Patron
862,2024/01/14,05:38,Sunday,FINCH STATION,SUO,0,0,,YU,0,Passenger Other
863,2024/01/14,07:54,Sunday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU,0,Miscellaneous Other
864,2024/01/14,08:40,Sunday,BROADVIEW STATION,PUTR,0,0,E,BD,5091,Rail Related Problem
865,2024/01/14,08:41,Sunday,SUMMERHILL STATION,MUPLB,7,12,S,YU,5741,Fire/Smoke Plan B - Source TTC
866,2024/01/14,08:45,Sunday,BROADVIEW STATION,SUDP,4,8,E,BD,5108,Disorderly Patron
867,2024/01/14,08:56,Sunday,PAPE STATION,TUOS,0,0,E,BD,5073,Operator Overshot Platform
868,2024/01/14,09:06,Sunday,WILSON STATION,PUOPO,3,10,S,YU,5551,OPTO (COMMS) Train Door Monitoring
869,2024/01/14,09:13,Sunday,YORKDALE STATION,PUOPO,4,11,S,YU,5551,OPTO (COMMS) Train Door Monitoring
870,2024/01/14,09:26,Sunday,KENNEDY BD STATION,MUWR,4,8,W,BD,5018,Work Refusal
871,2024/01/14,10:38,Sunday,FINCH STATION,SUDP,0,0,,YU,0,Disorderly Patron
872,2024/01/14,10:55,Sunday,QUEEN STATION,SUO,0,0,,YU,0,Passenger Other
873,2024/01/14,11:22,Sunday,DAVISVILLE STATION,MUPLB,66,70,S,YU,6031,Fire/Smoke Plan B - Source TTC
874,2024/01/14,11:54,Sunday,EGLINTON STATION,SUSA,0,0,,YU,0,Sexual Assault
875,2024/01/14,12:38,Sunday,UNION STATION,PUMO,0,0,N,YU,5421,Station Other
876,2024/01/14,12:41,Sunday,SHERBOURNE STATION,MUPAA,6,10,E,BD,5042,Passenger Assistance Alarm Activated - No Trouble Found
877,2024/01/14,12:51,Sunday,ST ANDREW STATION,PUMST,0,0,,YU,0,Station Stairway Incident
878,2024/01/14,12:54,Sunday,ISLINGTON STATION,MUPAA,0,0,E,BD,5140,Passenger Assistance Alarm Activated - No Trouble Found
879,2024/01/14,12:57,Sunday,COXWELL STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
880,2024/01/14,13:11,Sunday,FINCH STATION,SUDP,0,0,,YU,0,Disorderly Patron
881,2024/01/14,13:31,Sunday,CASTLE FRANK STATION,MUSC,0,0,E,BD,5115,Miscellaneous Speed Control
882,2024/01/14,13:58,Sunday,ST CLAIR STATION,MUATC,3,8,S,YU,5471,ATC Project
883,2024/01/14,14:25,Sunday,PAPE STATION,PUTR,4,8,E,BD,5091,Rail Related Problem
884,2024/01/14,15:12,Sunday,DUNDAS STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
885,2024/01/14,15:42,Sunday,DUFFERIN STATION,MUDD,0,0,W,BD,5233,Door Problems - Debris Related
886,2024/01/14,15:50,Sunday,BLOOR STATION,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
887,2024/01/14,16:26,Sunday,UNION STATION,SUDP,0,0,,YU,0,Disorderly Patron
888,2024/01/14,16:37,Sunday,CHRISTIE STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
